;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;8.48862317913;0.039729665851;0.375936443851;0.00858079822344;126.397146254;24.0
1;0.2;8.66661565183;0.0246310353929;0.279164476089;0.00492106300943;106.35020969;31.0
2;0.3;8.6739274695;0.0409312336499;0.253618030097;0.00794794205804;101.190409863;32.0
3;0.4;8.52492524083;0.0390332066261;0.241554367538;0.00720989416448;97.998630202;33.0
4;0.5;8.3744803564;0.0227220123813;0.24780183419;0.00433213543154;95.5018721523;32.0
5;0.6;8.39705808823;0.0395253748705;0.229028115399;0.00787800740897;93.2159351752;32.0
6;0.7;8.44780830433;0.0729126299889;0.250152605609;0.0157131332239;90.7779282791;28.0
7;0.8;8.3665928753;0.0782518525954;0.249412257821;0.0153724890087;89.0736311057;32.0
8;0.9;8.11203462886;0.0571126097288;0.267496636974;0.0108789489655;85.4975054301;33.0
9;1.0;8.02848574285;0.0378743930089;0.332224275293;0.00910175060974;81.8917509031;23.0
10;1.1;7.88412886339;0.00683530080104;0.319757716715;0.00145119210838;77.1700692271;25.0
11;1.2;7.44021203235;0.00877179881677;0.339619513208;0.00202130913751;80.6287425001;23.0
12;1.3;7.15880310593;0.00622914806819;0.38152136712;0.00152981275159;86.4208866912;20.0
13;1.4;6.96593815916;0.00508928157812;0.37238974788;0.00120965583777;91.9484993605;21.0
14;1.5;6.68182394622;0.0096672163859;0.460185944416;0.00252633164987;101.913885962;17.0
15;1.6;6.74902001905;0.0183203220372;0.447982884144;0.00489254958267;108.013388609;16.0
16;1.7;6.86609733013;0.0451300465598;0.467466821694;0.0136703082562;121.151762441;13.0
17;1.8;7.28411721215;0.0300257702806;0.516497540259;0.0102066937928;133.474097317;11.0
18;1.9;7.61733169752;0.00813174419471;0.535574261503;0.00260223321177;134.591491444;12.0
19;2.0;7.78461008167;0.0286733805566;0.620118497682;0.00966912370053;137.042414922;10.0
20;2.1;7.65953129124;0.0708022081455;0.614923884942;0.0261255307831;144.974531491;9.0
21;2.2;7.54668790545;0.0171911263782;0.727886803139;0.00765520866647;159.592435065;7.0
22;2.3;9.68360743257;0.199527244528;0.917210415545;0.109177346419;179.66388606;5.0
23;2.4;11.2143025152;0.0528085674364;0.981583549095;0.0463127154388;186.863935731;3.0
24;2.5;11.3544724558;0.06838815836;0.853308528307;0.0463243029465;193.440103512;4.0
25;2.6;11.4320419861;0.0293384620897;1.43626814511;0.0256041894033;204.513338874;3.0
26;2.7;10.9532389906;0.0244219886181;1.50141812063;0.0345503256515;225.601726303;2.0
27;2.8;11.0823852691;0.0268602889469;1.93866024887;0.0386608255609;231.320596769;2.0
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
